time,apigateway_api_gateway,customersservice_customers_service,srtt_SRTT_cumulative,vetsservice_vets_service,visitsservice_visits_service
2025-05-17 17:56:30,0.0,0.0,3946.146907044628,,5.25
2025-05-17 17:56:45,0.0,0.0,4112.180652524609,,5.25
2025-05-17 17:57:00,0.0,0.0,4155.184136541907,,0.0
2025-05-17 17:57:15,0.0,0.0,4143.514550620583,,0.0
2025-05-17 17:57:30,0.0,0.0,4029.461128946288,,0.0
2025-05-17 17:57:45,0.0,0.0,4029.91563697652,,0.0
2025-05-17 17:58:00,0.0,0.0,4006.12126677725,,0.0
2025-05-17 17:58:15,0.0,0.0,4020.886598003372,,0.0
2025-05-17 17:58:30,0.0,0.0,3976.79973217355,,0.0
2025-05-17 17:58:45,0.0,0.0,3874.0039467036127,,0.0
2025-05-17 17:59:00,0.0,0.0,3870.876144771246,,0.0
2025-05-17 17:59:15,0.0,0.0,3882.3762397126247,,0.0
2025-05-17 17:59:30,0.0,0.0,3677.296592959926,,0.0
2025-05-17 17:59:45,0.0,0.0,3840.488584041722,,0.0
2025-05-17 18:00:00,0.0,0.0,3834.094075492866,,0.0
2025-05-17 18:00:15,0.0,0.0,3842.254238624786,,0.0
2025-05-17 18:00:30,0.0,0.0,3801.751207594142,,0.0
2025-05-17 18:00:45,0.0,0.0,3575.932901819027,,0.0
2025-05-17 18:01:00,0.0,0.0,3532.2475965431527,,0.0
2025-05-17 18:01:15,0.0,0.0,3534.2723465431527,,0.0
2025-05-17 18:01:30,0.0,0.0,3607.101910500377,,0.0
2025-05-17 18:01:45,0.0,0.0,3658.6390400639216,,0.0
2025-05-17 18:02:00,0.0,0.0,3728.0041269820376,,0.0
2025-05-17 18:02:15,0.0,0.0,3720.495210369671,,0.0
2025-05-17 18:02:30,0.0,0.0,3615.060765098525,,0.0
2025-05-17 18:02:45,0.0,0.0,3464.945933676762,,0.0
2025-05-17 18:03:00,0.0,0.0,3473.8982130872987,,0.0
2025-05-17 18:03:15,0.0,0.0,3509.3936834919978,,0.0
2025-05-17 18:03:30,0.0,0.0,3536.1816697075365,,0.0
2025-05-17 18:03:45,0.0,0.0,4110.12977302565,,0.0
2025-05-17 18:04:00,0.0,0.0,4132.798389372491,,0.0
2025-05-17 18:04:15,0.0,6.75,4143.033168458485,,0.0
